MET file converted from FVCOM filessm_mc_20_0.83alb.dat
KT = coef of heat exchange (watts/m2/C) (not used), TE = equil temp (C) (not used)
 IO = PAR (E/m2/day), FD=Fraction of day, and WS = wind speed (m/s)
    JDAY    KT      TE      IO      FD      WS  
 121.500  14.940  23.030  59.464   0.574   3.689
 122.500  14.940  23.030  47.544   0.577   3.675
 123.500  14.940  23.030  54.174   0.582   4.483
 124.500  14.940  23.030  49.523   0.586   2.743
 125.500  14.940  23.030  63.461   0.590   3.465
 126.500  14.940  23.030  50.844   0.594   3.304
 127.500  14.940  23.030  65.992   0.599   4.704
 128.500  14.940  23.030  66.676   0.603   4.086
 129.500  14.940  23.030  62.962   0.607   4.507
 130.500  14.940  23.030  64.091   0.608   4.545
 131.500  14.940  23.030  55.257   0.609   3.176
 132.500  14.940  23.030  60.292   0.610   4.235
 133.500  14.940  23.030  61.852   0.611   4.983
 134.500  14.940  23.030  62.588   0.611   2.618
 135.500  14.940  23.030  59.127   0.612   2.261
 136.500  14.940  23.030  41.840   0.613   2.704
 137.500  14.940  23.030  67.185   0.606   3.401
 138.500  14.940  23.030  67.180   0.600   3.702
 139.500  14.940  23.030  62.885   0.593   2.868
 140.500  14.940  23.030  22.064   0.587   3.081
 141.500  14.940  23.030  40.481   0.580   2.742
 142.500  14.940  23.030  35.674   0.573   3.502
 143.500  14.940  23.030  40.277   0.567   1.541
 144.500  14.940  23.030  78.404   0.575   2.356
 145.500  14.940  23.030  38.691   0.583   2.392
 146.500  14.940  23.030  48.301   0.592   3.087
 147.500  14.940  23.030  70.798   0.600   3.923
 148.500  14.940  23.030  58.114   0.608   3.901
 149.500  14.940  23.030  60.690   0.617   3.802
 150.500  14.940  23.030  32.104   0.625   3.114
 151.500  14.940  23.030  50.324   0.625   2.435
 152.500  14.940  23.030  71.568   0.625   2.283
 153.500  14.940  23.030  67.523   0.625   2.797
 154.500  14.940  23.030  66.322   0.625   3.145
 155.500  14.940  23.030  62.744   0.625   2.291
 156.500  14.940  23.030  65.162   0.625   2.912
 157.500  14.940  23.030  67.494   0.625   3.207
 158.500  14.940  23.030  55.906   0.625   2.650
 159.500  14.940  23.030  59.542   0.625   2.916
 160.500  14.940  23.030  52.808   0.625   6.234
 161.500  14.940  23.030  67.687   0.625   3.636
 162.500  14.940  23.030  50.631   0.625   2.962
 163.500  14.940  23.030  36.326   0.625   2.929
 164.500  14.940  23.030  55.250   0.625   2.745
 165.500  14.940  23.030  49.904   0.625   3.481
 166.500  14.940  23.030  39.987   0.625   3.650
 167.500  14.940  23.030  70.008   0.625   2.273
 168.500  14.940  23.030  65.054   0.625   3.338
 169.500  14.940  23.030  70.800   0.625   2.635
 170.500  14.940  23.030  57.843   0.625   2.397
 171.500  14.940  23.030  50.618   0.625   4.969
 172.500  14.940  23.030  59.176   0.624   2.782
 173.500  14.940  23.030  70.268   0.623   2.589
 174.500  14.940  23.030  68.347   0.622   3.045
 175.500  14.940  23.030  61.325   0.621   2.321
 176.500  14.940  23.030  54.626   0.619   4.010
 177.500  14.940  23.030  64.718   0.618   3.505
 178.500  14.940  23.030  20.207   0.617   2.506
 179.500  14.940  23.030  68.603   0.618   3.392
 180.500  14.940  23.030  68.046   0.618   4.992
 181.500  14.940  23.030  23.069   0.618   3.422
 182.500  14.940  23.030  43.225   0.618   4.139
 183.500  14.940  23.030  35.323   0.619   3.999
 184.500  14.940  23.030  45.812   0.619   3.047
 185.500  14.940  23.030  67.103   0.619   2.309
 186.500  14.940  23.030  70.437   0.620   2.417
 187.500  14.940  23.030  69.132   0.621   3.124
 188.500  14.940  23.030  49.652   0.622   1.974
 189.500  14.940  23.030  63.437   0.622   2.504
 190.500  14.940  23.030  39.300   0.623   2.787
 191.500  14.940  23.030  68.913   0.624   2.753
 192.500  14.940  23.030  47.438   0.625   3.097
 193.500  14.940  23.030  54.607   0.624   3.210
 194.500  14.940  23.030  69.795   0.623   3.235
 195.500  14.940  23.030  69.885   0.622   2.987
 196.500  14.940  23.030  64.767   0.622   2.602
 197.500  14.940  23.030  58.655   0.621   2.849
 198.500  14.940  23.030  44.840   0.620   1.761
 199.500  14.940  23.030  67.716   0.619   2.918
 200.500  14.940  23.030  65.665   0.614   3.069
 201.500  14.940  23.030  66.632   0.609   3.177
 202.500  14.940  23.030  65.496   0.604   2.357
 203.500  14.940  23.030  45.328   0.599   2.131
 204.500  14.940  23.030  53.298   0.594   2.963
 205.500  14.940  23.030  36.183   0.588   2.487
 206.500  14.940  23.030  66.359   0.583   3.035
 207.500  14.940  23.030  65.879   0.583   4.423
 208.500  14.940  23.030  65.029   0.583   3.519
 209.500  14.940  23.030  63.927   0.583   2.138
 210.500  14.940  23.030  65.196   0.583   2.779
 211.500  14.940  23.030  64.176   0.583   3.645
 212.500  14.940  23.030  58.179   0.583   3.811
 213.500  14.940  23.030  58.434   0.583   2.593
 214.500  14.940  23.030  59.696   0.583   3.119
 215.500  14.940  23.030  60.580   0.583   3.373
